"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
39;"Raul García";"Osasuna";36;926;7;1;6.94;1.12;0.67;0.11
59;"Víctor Muñoz";"Osasuna";34;2705;6;2;7.11;2.41;0.24;0.08
97;"Alejandro Catena";"Osasuna";35;3083;3;2;2.86;1.1;0.08;0.03
115;"Rubén García";"Osasuna";35;2297;2;5;2.6;5.86;0.1;0.23
123;"Kike Barja";"Osasuna";27;369;2;2;1.25;0.66;0.3;0.16
190;"Valentin Rosier";"Osasuna";31;2563;1;1;0.94;1.95;0.03;0.07
238;"Iker Benito";"Osasuna";6;148;1;0;0.39;0.14;0.23;0.09
257;"Asier Osambela";"Osasuna";17;295;1;0;0.41;0.59;0.12;0.18
259;"Abel Bretones";"Osasuna";28;1600;1;2;0.58;1.46;0.03;0.08
260;"Enzo Boyomo";"Osasuna";30;2544;1;2;1.16;1.42;0.04;0.05
310;"Moi Gómez";"Osasuna";26;1202;0;2;0.42;1.91;0.03;0.14
337;"Aitor Fernández";"Osasuna";2;134;0;0;0;0;0;0
366;"Lucas Torró";"Osasuna";34;2362;0;1;2.24;1.26;0.09;0.05
385;"Jon Moncayola";"Osasuna";36;3061;0;4;2.33;4.86;0.07;0.14
386;"Sergio Herrera";"Osasuna";37;3284;0;0;0;0;0;0
387;"Sheraldo Becker";"Osasuna";9;124;0;0;0.17;0.25;0.12;0.18
399;"Aimar Oroz";"Osasuna";31;2175;0;2;1.64;3.74;0.07;0.15
401;"Raul Moro";"Osasuna";14;628;0;2;0.23;1.7;0.03;0.24
403;"Juan Cruz";"Osasuna";15;644;0;0;0.55;0.07;0.08;0.01
443;"Jorge Herrando";"Osasuna";28;1597;0;1;0.17;0.69;0.01;0.04
457;"Iker Muñoz";"Osasuna";19;928;0;0;0.32;0.25;0.03;0.02
481;"Iñigo Arguibide";"Osasuna";6;187;0;0;0;0.03;0;0.02
21;"Jorge De Frutos";"Rayo Vallecano";36;2526;10;1;12.13;3.34;0.43;0.12
66;"Sergio Camello";"Rayo Vallecano";22;810;5;1;3.89;1.59;0.43;0.18
77;"Álvaro García";"Rayo Vallecano";32;2123;4;5;6.87;7.33;0.29;0.31
89;"Alemão";"Rayo Vallecano";26;1118;4;0;4.11;0.31;0.33;0.03
103;"Isi Palazón";"Rayo Vallecano";31;2294;3;3;4.7;4.25;0.18;0.17
104;"Randy Nteka";"Rayo Vallecano";13;342;3;0;3.42;0.13;0.9;0.03
121;"Florian Lejeune";"Rayo Vallecano";36;3233;2;1;2.61;1.17;0.07;0.03
134;"Alfonso Espino";"Rayo Vallecano";30;1472;2;0;2.06;3.07;0.13;0.19
142;"Pathé Ciss";"Rayo Vallecano";29;1974;2;1;3.96;0.48;0.18;0.02
147;"Fran Pérez";"Rayo Vallecano";29;1226;2;1;2.51;1.67;0.18;0.12
155;"Nobel Mendy";"Rayo Vallecano";24;1834;2;0;2.18;0.36;0.11;0.02
232;"Óscar Valentín";"Rayo Vallecano";33;2143;1;0;1.49;0.94;0.06;0.04
246;"Pep Chavarría";"Rayo Vallecano";33;2672;1;2;0.64;3.7;0.02;0.12
331;"Gerard Gumbau";"Rayo Vallecano";28;1153;0;3;1.14;2.51;0.09;0.2
333;"Óscar Trejo";"Rayo Vallecano";7;131;0;1;0.11;0.73;0.08;0.5
334;"Unai López";"Rayo Vallecano";28;1637;0;4;1.01;2.52;0.06;0.14
349;"Iván Balliu";"Rayo Vallecano";14;572;0;0;0.93;0.09;0.15;0.01
355;"Luiz Felipe";"Rayo Vallecano";10;473;0;0;0.24;0.02;0.05;0
376;"Andrei Ratiu";"Rayo Vallecano";35;2791;0;4;2.37;6.19;0.08;0.2
392;"Daniel Cárdenas";"Rayo Vallecano";4;360;0;0;0;0;0;0
433;"Carlos Martín";"Rayo Vallecano";11;473;0;0;1.15;0.58;0.22;0.11
449;"Abdul Mumin";"Rayo Vallecano";3;77;0;0;0;0;0;0
476;"Augusto Batalla";"Rayo Vallecano";34;3060;0;0;0;0.05;0;0
487;"Pedro Díaz";"Rayo Vallecano";34;1868;0;1;1.77;1.64;0.09;0.08
488;"Pelayo Fernández";"Rayo Vallecano";1;37;0;0;0.06;0;0.14;0
521;"Jozhua Vertrouwd";"Rayo Vallecano";9;433;0;0;0.08;0.08;0.02;0.02
522;"Samu Becerra";"Rayo Vallecano";3;9;0;0;0;0.08;0;0.85
435;"Ilias Akhomach";"Rayo Vallecano,Villarreal";20;876;0;1;2.6;1.56;0.27;0.16
15;"Juan Camilo Hernández";"Real Betis";32;2623;11;3;12.4;4.87;0.43;0.17
22;"Abdessamad Ezzalzouli";"Real Betis";29;2275;10;8;10.3;6.22;0.41;0.25
25;"Pablo Fornals";"Real Betis";37;2912;9;6;4.94;7.89;0.15;0.24
36;"Antony";"Real Betis";32;2495;8;6;9.02;6.64;0.33;0.24
76;"Aitor Ruibal";"Real Betis";27;1809;4;2;4.42;1.8;0.22;0.09
90;"Cédric Bakambu";"Real Betis";18;542;3;1;4.45;1.08;0.74;0.18
113;"Héctor Bellerín";"Real Betis";27;1822;2;3;0.54;3.85;0.03;0.19
124;"Giovani Lo Celso";"Real Betis";24;1396;2;3;2.9;2.88;0.19;0.19
174;"Diego Llorente";"Real Betis";18;1221;1;0;1.13;0.05;0.08;0
176;"Isco";"Real Betis";8;213;1;1;1;0.62;0.42;0.26
181;"Marc Bartra";"Real Betis";25;1973;1;0;0.78;0.12;0.04;0.01
189;"Marc Roca";"Real Betis";29;2020;1;2;0.96;2.06;0.04;0.09
204;"Ezequiel Ávila";"Real Betis";16;350;1;0;1.65;0.4;0.42;0.1
214;"Rodrigo Riquelme";"Real Betis";25;788;1;1;2.65;1.47;0.3;0.17
252;"Sergi Altimira";"Real Betis";24;1176;1;2;0.51;0.56;0.04;0.04
275;"Valentín Gómez";"Real Betis";28;1852;1;0;0.95;2.11;0.05;0.1
286;"Álvaro Fidalgo";"Real Betis";9;567;1;0;0.53;0.2;0.08;0.03
290;"Ricardo Rodríguez";"Real Betis";23;1552;0;1;0.14;0.49;0.01;0.03
294;"Adrián";"Real Betis";1;90;0;0;0;0;0;0
308;"Pau López";"Real Betis";9;810;0;0;0;0;0;0
363;"Júnior Firpo";"Real Betis";12;846;0;1;0.44;0.96;0.05;0.1
388;"Sofyan Amrabat";"Real Betis";17;1297;0;0;0.24;0.24;0.02;0.02
462;"Álvaro Vallés";"Real Betis";28;2520;0;0;0;0;0;0
466;"Natan";"Real Betis";33;2820;0;0;0.52;0.33;0.02;0.01
468;"Dani Pérez";"Real Betis";1;1;0;0;0;0;0;0
512;"Ángel Ortiz";"Real Betis";13;584;0;0;0.03;0.88;0;0.14
513;"Pablo García";"Real Betis";15;346;0;0;1.41;0.06;0.37;0.01
545;"Iván Corralejo";"Real Betis";1;11;0;0;0;0;0;0
550;"Nelson Deossa";"Real Betis";20;725;0;0;0.47;0.65;0.06;0.08
1;"Kylian Mbappe-Lottin";"Real Madrid";31;2623;25;5;25.8;7.24;0.89;0.25
5;"Vinícius Júnior";"Real Madrid";36;2865;16;5;14.4;7.16;0.45;0.22
51;"Jude Bellingham";"Real Madrid";28;1933;6;4;7.73;3.04;0.36;0.14
58;"Gonzalo García";"Real Madrid";30;923;6;1;5.27;1.63;0.51;0.16
64;"Federico Valverde";"Real Madrid";33;2765;5;8;2.24;5.01;0.07;0.16
86;"Arda Güler";"Real Madrid";33;2076;4;9;4.81;8.85;0.21;0.38
126;"Eder Militão";"Real Madrid";16;1147;2;1;1.89;1.12;0.15;0.09
146;"Álvaro Fernández";"Real Madrid";28;2334;2;3;0.76;1.78;0.03;0.07
152;"Dean Huijsen";"Real Madrid";28;2046;2;2;2.33;1.15;0.1;0.05
160;"Raúl";"Real Madrid";23;1692;2;0;1.51;0.46;0.08;0.02
173;"Antonio Rüdiger";"Real Madrid";18;1501;1;0;1.41;0.31;0.08;0.02
196;"Brahim Diaz";"Real Madrid";30;1243;1;6;1.71;3.64;0.12;0.26
198;"Aurelien Tchouameni";"Real Madrid";33;2656;1;0;3.06;2.31;0.1;0.08
210;"Eduardo Camavinga";"Real Madrid";29;1507;1;0;1.14;1.82;0.07;0.11
215;"Rodrygo";"Real Madrid";19;633;1;3;2.85;2.88;0.4;0.41
231;"Fran García";"Real Madrid";13;930;1;1;0.95;0.3;0.09;0.03
276;"Franco Mastantuono";"Real Madrid";23;1026;1;0;2.68;2.86;0.24;0.25
293;"David Alaba";"Real Madrid";11;419;0;0;0.26;0;0.06;0
297;"Thibaut Courtois";"Real Madrid";32;2880;0;0;0;0;0;0
304;"Trent Alexander-Arnold";"Real Madrid";21;1175;0;4;0.4;2.03;0.03;0.16
313;"Daniel Carvajal";"Real Madrid";17;965;0;1;0.28;1.99;0.03;0.19
323;"Dani Ceballos";"Real Madrid";16;451;0;0;0.08;0.59;0.02;0.12
357;"Ferland Mendy";"Real Madrid";5;204;0;0;0;0;0;0
369;"Andriy Lunin";"Real Madrid";6;540;0;0;0;0;0;0
491;"Endrick";"Real Madrid";1;5;0;0;0;0;0;0
502;"David Jiménez";"Real Madrid";2;78;0;0;0.09;0;0.1;0
506;"Diego Aguado";"Real Madrid";1;24;0;0;0;0;0;0
507;"Daniel Yáñez";"Real Madrid";2;40;0;1;0;0.37;0;0.84
516;"Valde";"Real Madrid";1;81;0;0;0;0.02;0;0.02
544;"Thiago Pitarch";"Real Madrid";10;615;0;2;0.35;0.89;0.05;0.13
572;"Jorge Cestero";"Real Madrid";2;8;0;0;0;0;0;0
580;"César Palacios";"Real Madrid";5;68;0;0;0.13;0.03;0.17;0.04
581;"Álvaro Leiva";"Real Madrid";1;2;0;0;0;0;0;0
592;"Manuel Ángel";"Real Madrid";4;86;0;0;0.06;0;0.06;0
600;"Manuel Serrano";"Real Madrid";1;3;0;0;0;0;0;0
29;"Federico Viñas";"Real Oviedo";34;2575;9;1;9.88;3.03;0.35;0.11
47;"Ilyas Chaira";"Real Oviedo";37;2584;7;2;7.22;2.08;0.25;0.07
88;"Alberto Reina";"Real Oviedo";38;2616;4;1;3.9;4.21;0.13;0.14
114;"Salomón Rondón";"Real Oviedo";16;1054;2;0;3.78;0.19;0.32;0.02
172;"Eric Bailly";"Real Oviedo";16;1327;1;0;0.34;0.16;0.02;0.01
186;"David Costas";"Real Oviedo";25;2073;1;0;1.37;0.19;0.06;0.01
207;"Leander Dendoncker";"Real Oviedo";19;1338;1;0;0.54;0.43;0.04;0.03
239;"Luka Ilic";"Real Oviedo";19;731;1;0;1.76;0.42;0.22;0.05
278;"David Carmo";"Real Oviedo";22;1785;1;0;0.96;0.51;0.05;0.03
299;"Santiago Cazorla";"Real Oviedo";29;877;0;1;0.31;2.33;0.03;0.24
303;"Ovie Ejaria";"Real Oviedo";9;207;0;0;0.22;0.08;0.1;0.03
318;"Aarón";"Real Oviedo";37;3330;0;1;0;0.44;0;0.01
330;"Dani Calvo";"Real Oviedo";21;1688;0;0;0.92;0.5;0.05;0.03
344;"Nacho Vidal";"Real Oviedo";30;2383;0;0;2.86;0.32;0.11;0.01
348;"Josip Brekalo";"Real Oviedo";14;482;0;0;0.31;1.65;0.06;0.31
396;"Javier López";"Real Oviedo";26;1825;0;1;0.7;1.19;0.03;0.06
458;"Haissem Hassan";"Real Oviedo";38;1937;0;3;1.96;1.8;0.09;0.08
479;"Horatiu Moldovan";"Real Oviedo";2;180;0;0;0;0;0;0
523;"Oier Luengo";"Real Oviedo";3;228;0;1;0.07;0.1;0.03;0.04
524;"Rahim Alhassane";"Real Oviedo";28;1689;0;0;0.06;1.57;0;0.08
525;"Kwasi Sibo";"Real Oviedo";27;1782;0;0;0.32;0.05;0.02;0
526;"Borja Sánchez";"Real Oviedo";1;9;0;0;0;0;0;0
527;"Marco Esteban";"Real Oviedo";1;40;0;0;0;0;0;0
528;"Omar Falah";"Real Oviedo";1;9;0;0;0;0;0;0
547;"Santiago Colombatto";"Real Oviedo";33;2157;0;1;0.73;2.82;0.03;0.12
548;"Álex Forés";"Real Oviedo";18;331;0;1;0.79;0.02;0.22;0.01
552;"Lucas Ahijado";"Real Oviedo";20;1086;0;1;1.12;1.36;0.09;0.11
561;"Pablo Agudín";"Real Oviedo";8;60;0;0;0.04;0;0.06;0
576;"Nicolás Fonseca";"Real Oviedo";19;1028;0;0;0.18;0.1;0.02;0.01
579;"Thiago Borbas";"Real Oviedo";12;140;0;0;0.71;0;0.46;0
586;"Thiago Fernández";"Real Oviedo";17;919;0;4;0.87;2.87;0.09;0.28
7;"Mikel Oyarzabal";"Real Sociedad";34;2727;15;4;16.03;5.96;0.53;0.2
28;"Orri Óskarsson";"Real Sociedad";20;822;9;0;7.34;0.47;0.8;0.05
34;"Gonçalo Guedes";"Real Sociedad";32;1833;8;4;4.14;2.67;0.2;0.13
49;"Brais Méndez";"Real Sociedad";29;1708;6;2;6.03;3.33;0.32;0.18
74;"Carlos Soler";"Real Sociedad";33;2346;4;3;3.27;5.04;0.13;0.19
96;"Ander Barrenetxea";"Real Sociedad";30;1794;3;5;3.13;6.6;0.16;0.33
108;"Luka Sucic";"Real Sociedad";22;1003;3;1;1.76;0.36;0.16;0.03
130;"Takefusa Kubo";"Real Sociedad";24;1531;2;4;2.66;4.56;0.16;0.27
156;"Jon Martín";"Real Sociedad";25;2250;2;0;2.42;0.19;0.1;0.01
180;"Álvaro Odriozola";"Real Sociedad";5;196;1;0;0.57;1.14;0.26;0.52
205;"Duje Caleta-Car";"Real Sociedad";27;2140;1;0;1.88;0.2;0.08;0.01
209;"Aihen Muñoz";"Real Sociedad";21;829;1;0;0.47;0.41;0.05;0.04
255;"Jon Aramburu";"Real Sociedad";35;2789;1;0;2.06;0.44;0.07;0.01
277;"Jon Gorrotxategi";"Real Sociedad";30;2235;1;3;0.9;0.99;0.04;0.04
311;"Aritz Elustondo";"Real Sociedad";16;723;0;1;0.5;0.03;0.06;0
322;"Igor Zubeldia";"Real Sociedad";25;2080;0;1;0.32;0.61;0.01;0.03
328;"Remiro";"Real Sociedad";37;3330;0;0;0;0.39;0;0.01
364;"Sergio Gómez";"Real Sociedad";35;2712;0;6;0.85;7.41;0.03;0.25
404;"Arsen Zakharyan";"Real Sociedad";17;424;0;0;1.1;1.12;0.23;0.24
414;"Unai Marrero";"Real Sociedad";1;90;0;0;0;0;0;0
418;"Beñat Turrientes";"Real Sociedad";27;1355;0;3;0.88;1.19;0.06;0.08
429;"Jon Karrikaburu";"Real Sociedad";7;107;0;0;0.71;0.02;0.6;0.02
451;"Pablo Marín";"Real Sociedad";34;1491;0;1;1.25;1.85;0.08;0.11
478;"Iñaki Rupérez";"Real Sociedad";1;1;0;0;0;0;0;0
508;"Arkaitz Mariezkurrena";"Real Sociedad";1;1;0;0;0;0;0;0
515;"Luken Beitia";"Real Sociedad";2;91;0;0;0;0;0;0
517;"Daniel Díaz";"Real Sociedad";1;13;0;0;0;0;0;0
518;"Mikel Goti";"Real Sociedad";4;64;0;0;0.78;0;1.09;0
565;"Gorka Carrera";"Real Sociedad";3;49;0;0;0.56;0;1.03;0
574;"Lander Astiazarán";"Real Sociedad";1;1;0;0;0.02;0;1.9;0
577;"Ibai Aguirre";"Real Sociedad";1;4;0;0;0;0;0;0
583;"Job Ochieng";"Real Sociedad";2;92;0;0;0.09;0.15;0.08;0.15
589;"Wesley";"Real Sociedad";5;74;0;0;0.01;0;0.01;0
72;"Umar Sadiq";"Real Sociedad,Valencia";25;1028;4;2;5.45;1.72;0.48;0.15
23;"Akor Adams";"Sevilla";32;2048;10;3;10.05;1.15;0.44;0.05
63;"Djibril Sow";"Sevilla";33;2235;5;4;1.55;2.02;0.06;0.08
71;"Alexis Sánchez";"Sevilla";28;1278;4;2;3.5;1.83;0.25;0.13
87;"Isaac Romero";"Sevilla";29;1506;4;0;5.54;1.08;0.33;0.06
98;"Ruben Vargas";"Sevilla";24;1670;3;6;3.43;3.11;0.18;0.17
120;"Neal Maupay";"Sevilla";12;884;2;1;2.12;0.57;0.22;0.06
128;"Nemanja Gudelj";"Sevilla";34;2349;2;0;1.48;0.83;0.06;0.03
143;"Kike Salas";"Sevilla";26;2199;2;0;1.1;0.4;0.04;0.02
158;"Peque";"Sevilla";26;952;2;1;0.77;0.61;0.07;0.06
162;"Oso";"Sevilla";21;1397;2;3;1.49;2.12;0.1;0.14
193;"Dodi Lukebakio";"Sevilla";2;180;1;0;0.05;0.86;0.03;0.43
218;"Lucien Agoume";"Sevilla";34;2728;1;3;0.83;3.19;0.03;0.11
220;"Batista Mendy";"Sevilla";27;1632;1;0;0.86;0.49;0.05;0.03
221;"Chidera Ejuke";"Sevilla";27;866;1;1;1.92;0.93;0.2;0.1
230;"José Ángel Carmona";"Sevilla";35;2561;1;3;0.95;2.36;0.03;0.08
245;"Marcão";"Sevilla";13;935;1;0;0.92;0;0.09;0
266;"Andrés Castrín";"Sevilla";19;1251;1;0;0.56;0.1;0.04;0.01
289;"Ørjan Nyland";"Sevilla";5;450;0;0;0;0;0;0
291;"Adnan Januzaj";"Sevilla";12;283;0;0;0.26;0.67;0.08;0.21
292;"Odisseas Vlachodimos";"Sevilla";33;2970;0;0;0;0;0;0
298;"César Azpilicueta";"Sevilla";17;1233;0;1;0.01;0.56;0;0.04
309;"Joan Jordán";"Sevilla";3;15;0;0;0;0;0;0
389;"Nianzou Kouassi";"Sevilla";12;670;0;0;0.6;0.14;0.08;0.02
395;"Juanlu Sanchez";"Sevilla";32;2016;0;3;0.75;1.9;0.03;0.08
452;"Manu Bueno";"Sevilla";8;256;0;0;0.11;0.2;0.04;0.07
454;"Gabriel Suazo";"Sevilla";29;2107;0;2;0.31;2.79;0.01;0.12
461;"Federico Gattoni";"Sevilla";1;5;0;0;0;0;0;0
480;"Stanis Idumbo Muzambo";"Sevilla";1;48;0;0;0.05;0.27;0.09;0.5
503;"Ramón Martínez";"Sevilla";2;99;0;0;0;0;0;0
539;"Miguel Sierra";"Sevilla";4;50;0;0;0.2;0;0.35;0
551;"Fábio Cardoso";"Sevilla";4;309;0;0;0;0;0;0
139;"Alfon";"Sevilla,Villarreal";21;691;2;0;2.93;0.51;0.38;0.07
19;"Hugo Duro";"Valencia";36;1979;10;0;10.06;1.74;0.46;0.08
54;"Largie Ramazani";"Valencia";27;1200;6;1;6.47;2.46;0.49;0.18
80;"Guido Rodríguez";"Valencia";16;1310;4;0;0.81;0.35;0.06;0.02
81;"Diego López";"Valencia";34;1781;4;1;3.48;2.03;0.18;0.1
84;"Javier Guerra";"Valencia";36;2086;4;6;3;3.47;0.13;0.15
100;"Luis Rioja";"Valencia";37;2676;3;6;2.63;4.35;0.09;0.15
101;"Arnaut Danjuma Groeneveld";"Valencia";30;1612;3;2;5.23;4.25;0.29;0.24
119;"Pepelu";"Valencia";31;2253;2;0;3.29;1.26;0.13;0.05
145;"Eray Cömert";"Valencia";17;1341;2;1;1.52;0.52;0.1;0.04
182;"José Gayá";"Valencia";32;2491;1;2;0.76;2.34;0.03;0.08
191;"Baptiste Santamaria";"Valencia";19;731;1;1;0.52;0.74;0.06;0.09
192;"Mouctar Diakhaby";"Valencia";8;539;1;0;0.63;0.06;0.11;0.01
251;"Lucas Beltrán";"Valencia";27;1377;1;2;4.76;1.99;0.31;0.13
326;"Dimitri Foulquier";"Valencia";15;1149;0;0;0.43;0.24;0.03;0.02
332;"Stole Dimitrievski";"Valencia";20;1800;0;0;0;0;0;0
347;"Raba";"Valencia";13;247;0;1;0.37;0.32;0.13;0.12
353;"Unai Núñez";"Valencia";13;927;0;0;0.4;0.38;0.04;0.04
391;"Thierry Correia";"Valencia";24;1386;0;2;0.28;1.71;0.02;0.11
415;"Jesús Vázquez";"Valencia";24;936;0;0;0.29;1.52;0.03;0.15
427;"Julen Agirrezabala";"Valencia";18;1620;0;0;0;0.01;0;0
434;"César Tárrega";"Valencia";32;2588;0;0;0.66;0.09;0.02;0
437;"Rubén Iranzo";"Valencia";1;1;0;0;0;0;0;0
446;"Copete";"Valencia";21;1767;0;0;1.94;0.16;0.1;0.01
447;"André Almeida";"Valencia";22;1007;0;2;0.87;2.19;0.08;0.2
531;"Filip Ugrinic";"Valencia";27;1515;0;3;0.62;3.72;0.04;0.22
593;"Renzo Saravia";"Valencia";5;358;0;0;0.02;0.02;0;0
13;"Georges Mikautadze";"Villarreal";33;2155;13;6;15.06;4.15;0.63;0.17
17;"Gerard Moreno";"Villarreal";22;1368;10;0;7.02;3;0.46;0.2
24;"Alberto Moleiro";"Villarreal";38;2535;10;5;5.61;5.78;0.2;0.21
26;"Nicolas Pepe";"Villarreal";37;2497;9;8;9.8;8.08;0.35;0.29
45;"Tajon Buchanan";"Villarreal";35;1873;7;1;2.74;2.6;0.13;0.12
60;"Ayoze Pérez";"Villarreal";26;1154;5;4;5.86;2.58;0.46;0.2
68;"Pape Alassane Gueye";"Villarreal";31;2280;5;2;5.21;2.22;0.21;0.09
95;"Santiago Comesaña";"Villarreal";34;2428;3;6;4.92;3.09;0.18;0.11
166;"Tani Oluwaseyi";"Villarreal";28;949;2;2;3.62;2.05;0.34;0.19
179;"Daniel Parejo";"Villarreal";33;1474;1;0;0.89;1.77;0.05;0.11
183;"Alfonso";"Villarreal";27;1700;1;3;1.22;4.22;0.06;0.22
236;"Rafa Marín";"Villarreal";23;1975;1;0;0.23;0.99;0.01;0.04
241;"Manor Solomon";"Villarreal";6;129;1;1;0.61;0.47;0.42;0.33
249;"Sergi Cardona";"Villarreal";32;2028;1;4;1.03;3.02;0.05;0.13
261;"Santiago Mouriño";"Villarreal";29;2485;1;2;1.23;0.84;0.04;0.03
317;"Thomas Partey";"Villarreal";26;892;0;0;0.51;0.33;0.05;0.03
360;"Juan Foyth";"Villarreal";13;946;0;0;0.07;0;0.01;0
393;"Logan Costa";"Villarreal";2;21;0;0;0;0.14;0;0.61
400;"Arnau Tenas";"Villarreal";11;990;0;0;0;0;0;0
413;"Yeremi Pino";"Villarreal";2;165;0;1;0.13;0.86;0.07;0.47
456;"Renato Veiga";"Villarreal";33;2553;0;0;0.2;0.12;0.01;0
465;"Adrià Alti";"Villarreal";1;7;0;0;0;0;0;0
475;"Willy Kambwala";"Villarreal";2;85;0;0;0;0;0;0
493;"Pau Navarro";"Villarreal";24;2034;0;0;0.06;0.44;0;0.02
494;"Luiz Júnior";"Villarreal";28;2520;0;0;0;0;0;0
498;"Pau Cabanes De La Torre";"Villarreal";1;10;0;0;0;0;0;0
505;"Alassane Diatta";"Villarreal";1;19;0;0;0;0;0;0
549;"Hugo Lopez";"Villarreal";2;57;0;0;0;0;0;0
567;"Carlos Macià";"Villarreal";5;65;0;0;0.02;0;0.03;0
587;"Alexander Freeman";"Villarreal";10;332;0;0;0.02;0.02;0;0
